attendance_id,customer_id,visit_date,attraction_id,time_spent_minutes
4001,1001,2024-09-03,9,15
4002,1001,2024-09-03,8,50
4003,1002,2024-10-03,7,14
4004,1002,2024-02-12,9,19
4005,1002,2024-10-18,4,24
4006,1002,2024-10-18,6,10
4007,1002,2024-10-18,8,58
4008,1002,2024-07-17,1,24
4009,1002,2024-07-17,3,46
4010,1002,2024-07-17,4,49
4011,1003,2024-08-07,1,64
4012,1003,2024-05-09,4,29
4013,1003,2024-05-09,7,56
4014,1004,2024-09-10,4,42
4015,1005,2024-09-24,8,52
4016,1006,2024-06-24,1,72
4017,1006,2024-06-24,3,12
4018,1006,2024-06-24,5,29
4019,1006,2024-06-24,8,51
4020,1007,2024-10-01,4,50
4021,1007,2024-10-01,6,51
4022,1007,2024-10-01,7,14
4023,1008,2024-12-21,9,30
4024,1008,2024-12-21,5,20
4025,1008,2024-11-15,2,16
4026,1008,2024-11-15,5,52
4027,1008,2024-11-15,7,69
4028,1008,2024-11-15,8,54
4029,1009,2024-04-20,1,42
4030,1009,2024-04-20,2,27
4031,1009,2024-04-20,7,63
4032,1009,2024-04-20,10,37
4033,1010,2024-05-29,9,24
4034,1010,2024-05-29,1,69
4035,1010,2024-10-14,9,34
4036,1010,2024-10-14,2,29
4037,1010,2024-10-14,3,10
4038,1011,2024-12-08,1,36
4039,1012,2024-04-20,1,64
4040,1012,2024-04-20,2,69
4041,1012,2024-04-20,3,45
4042,1012,2024-04-20,6,49
4043,1012,2024-04-20,7,31
4044,1012,2024-06-04,3,11
4045,1012,2024-06-04,4,73
4046,1012,2024-04-10,1,48
4047,1012,2024-04-10,5,65
4048,1012,2024-03-22,1,59
4049,1012,2024-03-22,4,63
4050,1013,2024-07-11,3,14
4051,1013,2024-07-11,4,30
4052,1013,2024-07-11,6,65
4053,1013,2024-07-11,8,49
4054,1013,2024-01-11,2,25
4055,1013,2024-01-11,4,63
4056,1013,2024-01-11,5,48
4057,1013,2024-01-11,6,51
4058,1013,2024-01-11,8,42
4059,1014,2024-03-07,5,62
4060,1014,2024-03-07,6,54
4061,1014,2024-03-07,7,69
4062,1015,2024-06-16,1,67
4063,1015,2024-06-16,5,24
4064,1015,2024-06-16,6,54
4065,1015,2024-06-16,8,35
4066,1016,2024-05-10,1,32
4067,1016,2024-05-10,4,69
4068,1017,2024-08-12,1,32
4069,1017,2024-08-12,6,69
4070,1018,2024-08-09,2,47
4071,1018,2024-08-09,3,26
4072,1018,2024-08-09,4,73
4073,1018,2024-08-09,6,49
4074,1019,2024-12-11,2,17
4075,1019,2024-12-11,3,34
4076,1019,2024-12-11,5,13
4077,1019,2024-12-11,6,13
4078,1020,2024-07-22,5,39
