booking_id,customer_id,booking_date,visit_date,ticket_type,tickets_count,total_amount,booking_channel
2001,1001,2024-09-02,2024-09-03,Adult,6,750.71,Walk-in
2002,1002,2024-10-03,2024-10-03,Child,6,408.79,Walk-in
2003,1002,2024-02-11,2024-02-12,Child,2,142.92,Walk-in
2004,1002,2024-10-16,2024-10-18,Family,1,353.21,Online
2005,1002,2024-07-17,2024-07-17,Adult,2,234.32,Online
2006,1003,2024-08-07,2024-08-07,Family,1,335.15,Walk-in
2007,1003,2024-05-08,2024-05-09,Adult,5,587.8,Walk-in
2008,1004,2024-09-07,2024-09-10,Adult,3,368.48,Walk-in
2009,1005,2024-09-22,2024-09-24,Adult,2,229.55,Walk-in
2010,1006,2024-06-24,2024-06-24,Child,4,268.24,Walk-in
2011,1007,2024-10-01,2024-10-01,Adult,3,367.13,Walk-in
2012,1008,2024-12-19,2024-12-21,Family,1,343.67,Walk-in
2013,1008,2024-11-12,2024-11-15,Adult,4,471.05,Online
2014,1009,2024-04-19,2024-04-20,Adult,3,356.75,Walk-in
2015,1010,2024-05-26,2024-05-29,Child,4,278.66,Walk-in
2016,1010,2024-10-14,2024-10-14,Family,1,360.09,Walk-in
2017,1011,2024-12-05,2024-12-08,Adult,4,493.99,Walk-in
2018,1012,2024-04-19,2024-04-20,Adult,1,118.7,Walk-in
2019,1012,2024-06-01,2024-06-04,Adult,3,371.87,Walk-in
2020,1012,2024-04-07,2024-04-10,Child,4,278.12,Walk-in
2021,1012,2024-03-22,2024-03-22,Adult,1,114.8,Walk-in
2022,1013,2024-07-10,2024-07-11,Adult,4,494.57,Walk-in
2023,1013,2024-01-10,2024-01-11,Adult,3,366.63,Walk-in
2024,1014,2024-03-05,2024-03-07,Adult,3,371.06,Walk-in
2025,1015,2024-06-16,2024-06-16,Adult,3,357.01,Walk-in
2026,1016,2024-05-08,2024-05-10,Child,4,288.03,Walk-in
2027,1017,2024-08-11,2024-08-12,Group,1,293.03,Online
2028,1018,2024-08-08,2024-08-09,Family,1,341.22,Walk-in
2029,1019,2024-12-11,2024-12-11,Adult,2,242.97,Walk-in
2030,1020,2024-07-20,2024-07-22,Adult,4,493.32,Online
2031,1021,2024-04-05,2024-04-07,Family,1,334.57,Walk-in
